query_id,answer
70DfDUpwjxB4lzFd,b92ee8f432cec2d1 d722bcda1a555091 255fbeaf526a1cc1 fa01652ca5f57d0f 6042fecdd7753112 d7ad9f91504e4d02 355392014208b7bf deb58d7ad8c27d06 603623b4bd9e8f6c 14d535285758af89 e5a240b2eaca4e11 bbfd9a8c71d3bd2b a1df0525799ab4b5 9515d1e1ecdac72c f4e8903d7689e222 56157887d3ddab2a 6fc4db453f873556 c04be97528001251 d4ebb123b83921c3 6dfa83ed47d5bd10 2d73dacac243ce62 82ddaf2c54ef884a 73ba3172bc67d2dd 4494aa11cbdc2d65 bee602308dd4d4b3 4332513c8fe7e1c9 4f96718256e225e4 cf0b70d14b674f8b fa4ba2c2cf71b0b1 198c47117b3869da 94c5ec723ea5418f d15745c74b29ff6a 936c0eb79b64074d d01e14d2ffd4ddba fe18d6ee0f9c019c 6047e1566a959d3a 33f8d361a92bdcde 66fcfff959aef409 3b5ada3ffcacbbf3 95571e85156ba0fe 616137eeb40fbedc acc6e16fea8628b0 75368254f36b2c3f 638349a35daca252 347f89be8087d8c7 a1f89a5af43b9a19 1308d41ffd1cc3a6 585d85c2bbec8c0a 7381aa4b4050d789 c686049bbee00d80
JTrdTaZJvSiLPkXj,367af128a9ea2a48 422d3ffdd5bbf626 cbeccbecb1fb8d86 dfa239d031b11832 01fbbfc288257fca 431efbc80d59155f 1c6d2079e07f4497 19165fefac3dce47 35a0a88ef8547de9 396da9dc8f95a5b4 efde386fb8c4f385 7e18adf210484046 47b2ed1012de011a 1344796085e92421 f46f68aaa4d7de38 73ab3b0d708ea15e d73d2694b62a903f 0529307cdfbe4a15 1a1f3efb845a2473 bfe712cb2e8abded 75be1179c1cf9418 e9cebe597677e8c6 c5110c8ce7bc03db 664665688c35c1d0 427a0a8bda5b9679 9227619964c97cd4 88931c4cd463d124 58616767e88c583f 56415c6efe9263d3 14fbc6d1a2f9f588 bafe6304f743b5fb cacca72b31f50e71 8ab5ecc1f8361f90 e7c70d65edde0559 2a006bbb2fa58b4e 16ea26ff0aa0450a 6d1e34faf020045c 0d7187b668ec655b bc442a2d3b6e180f 1502b5c030be738f 0b37ea1e0dea03d4 a1d20685ee4a2b4c 0739b276b4e6e142 ccb41dd11b4a4414 e08d374366a8ebfb c6ebf1bd7d6b7dfd 194976ead346ae70 0e89cac6ab47aed7 7abc3cf554e5484a 43a017f7743fba55
LZCZNoVG4AFUkVRJ,d62074dd39caefee 168a9207e80b0be4 3f89b8062dc85f1c dab52187b4500d9b d8fce513e4f000a7 edecb3695ab88901 3b370cc603f67947 10eb6d6da3230bbb 5c3ee000a94c97a4 005a523a0efbc62b a9840be7d8930cd1 d8b9d06b50158c04 0b1c884e6c242ea7 c1abf382ab9a79dd 35a357d7a0777087 597e24ccf265b201 6c311e61cde9bac2 e14f5fb01fd62b4b bcb840f5c56fa5bf 65f998d38467560a d8e11672a3a3b1db c5d21c0e8c1cdb2d 53fc0e81b65d6289 2bdc0973aa9e6ab6 ab1a2e6b18e6d75a 0c82dcb07c43fbc5 3f155e092f6b52f3 974b459d83fc73c2 4d4d23ab3070858e bc5cfc9ad5b36256 ffa57569baf9bf6e d670920ae5c55c71 ea4628ed1f8d1464 449711e696e8856b da766eaa5b580693 9d1e1a1bdbc80dc2 f687490eb8b38367 9ee7038f8274d1a7 f03a082e6a709bf3 fdd3d789c42999f5 e59f50c4c70d9a74 0f771e7af2533a8b 7f32ccc9e705360d c95e1f08a7de9f5e bf739dc55605f535 5eb2e0161979e396 56977227891850da 0916d1858b6583d5 ace36e5c61a9aa3b 8de84f3b121add79
660ac9QVtXkRxZC3,af91ec4a29b66636 4c15e7abba063ac5 bd2cb4500fad728e a846a2a5241e1180 e42795fcb72962a5 3cce43c811459438 1e5924dc546b82c1 0ccc2d9667763ea3 62be8c7f2a81aa9b 5b8181f009aea80e da18e5119a944f0b 7d77c8f23d4954f8 2babc4b2f86c9376 67b2cd847669eb36 3e76e71f9e7867a5 134c28fb359a5712 94677309cbe99d60 db04fd609245f490 f9028eecc17d9dd0 3b781361d56cf997 52bb41bec8c09542 d8f21e0f7becfcd5 14eee0fbc506b525 efd1cc78ffcb3b79 57f0c8833f98c86b 5c9d84e749c82719 976b75fa962b2756 4816fc8b40866f56 3258e0cf775323d9 7f0e79d19cfd6afe 1015320d8c099a6f 8f13aa53489bdd4b 387a6fed86e2eec2 f3dbed2c47abb854 02fa5ae33b30cbde 47e796789fa62aea 74ad7db7032ecbea cb79c218e9550c22 ac4aa62c993d83b4 1638f8d5f70d6f04 18c4c99fffbf23ff 3e7925ccea5aa7ce ebf755524175eac5 6c24f09ed2f18b0b 411aff1d13b08f7c bbdb1c31ea8774ef 89bf177f22e463a0 6faf343b2c174af4 bcd7b5b0d652e9dd 78abebf52683fe3b
YgHcM9MVbxKnxD1e,1a62634394544781 615c73ea4c3bfd15 9c41fe789f98d702 60e3b99111bd032b ba78ad593ec3412d b8603925d28a8c99 4ef5ba70fa9baaef 94cce9ac398a8f4a 13f58fe9542bdb1a 53f9c8caeeb8111e 0da6f81229980968 5008e2463b0c0526 0c8a36e283d43f46 0f2830cc25924065 c15a07821acfd1de 38f7cea86e2064f1 33539f478a2ca02a 407e6f8c8891a01f 9c1a7044c25537f7 b429bb253a967e2e 8138a7b391e29034 9502b74b2d61c50e fb0bf6077c59c5a2 3522ccc98c60efd8 aee13260d864d401 4265411abbbf405a 442b0ab445da8fa8 757e8ade65e15b16 1bb699002a717294 f23e3caec0202f5f 5302ea5fd1d36ebe 3bad0535f35b0096 7476c2f3ad236a47 0a6582395c74f5b3 56e3295572157d74 0a66ddd6eb96bd6d e023c13e57ad69b7 f43b5ea6922fd2bf cba533b4d734504c d22815ff92cd1a47 9dfc2ead6929b559 0181cdf16470a86b 9e5b312ae03dfa79 e09647d3c173314b 69313d4e1dce4f52 cde988cf3b7f41b0 33d983691b39da66 4e3f50ee1414bb8f 4ac1b5362445d885 d1762d84cbbf6eae
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd b9982354b0f9b488 1ebd6968953200ee efd1cbb4bff99da8 44853116720cebf8 67046e3c5492df3e 12c906df661153f3 1a0fd0229092f93a 2c01198e6a9e5dcf 61857fa438e615aa 55b42f2a9d801f9f 275d3c1139d393cf 03528664f8be42dd c0c959ccb7cc3d15 f6248730c66364a5 01c152e3cfa3ca08 ee49d0f90bd0642b e4d73ff84d102409 6f7096b477f898df 4be7b9267ce30093 2f2946d353283dce 38d86757951c36dc deb8430c13b40452 5608e1f8f203f7f0 8ff32856b99b223a 5fd350394c4e65a1 cc19dcdc0a74058b ae66c41ef6847433 5d6fc47a7f0e1abe 6a254eaa5e3cbcaf 6acdbf2dba17b143 d384b46b93bf53b4 77591840de7e9360 1ff9c80277e5e5bf 4030be553978c72e 9328083d57dc2ecb 1b57e78ed4d89c93 1ddbc4e38fa8e39e f9a1d76720a2fd92 9b98201161efb75f 017bb20f4533c6f4 cec2129b96de2003 1fbe566c17c1c988 6f62d35257e7a261 5a3a241e8b4685ea 8ed055fba8c69bea a3f003d075e3dd83 df63f15b03fa2b62 c1fef52077704ca1
u4hftjenWqHZoMep,6159d0a9012f6b13 bfc4346cd7fe091f 57dc728ccb851c30 b0896578a785ce44 144d5e7f963f9a97 c9021873c1f2511b 24370b8d2003ebfc 0cfabc56b1cd4816 f7ed83d74c968bd4 1a3daa8815cbd80e 4ecfd12428c444fa d0a1eeeb46bda2ef 83b88c758270dcfe 4ed8df21d84d4a06 7ab3158075b21fb5 52b552798a34129b 7ad464454b711615 e45c6c6c7afe87d6 7a60e1d73f70774c aedfffed94c3a134 4638da6d64063c3a 1c90b2e7c7e35d94 3fe3cfbf10720ad6 5dacf594473fe363 93095d3a5b2aff5f 118e63c31106f1bf bd66d2fbc4a94e48 ee1fefdbbe3b7112 427adddd43d80def 11ae4d1b31ebd7e2 c5314e8fdfbf5b0b bdf6b93538e3573f f2d7a21bead9c336 b8682c938874a5f6 e1ea0056989466b1 5dd3a74fe5d4e813 eecc194627e2aca1 1a176b690b702149 5a78fbbfa7ad0059 f872d6a8126cd626 a6701cb128fe8ebb 29a59ffd53a4c337 a675e248f712dc73 5ffc4c0899a8903d 558579a8d2f47c9b 55697b71668c80e3 71a7af70f8c42d25 6f2185599cc623f9 b6f7441bcad9e5d5 cd3b021cdaa6c4c3
2Ysms04CH0JxFR7M,376b59a44a9b7fde 1a4ad9abea6976bf 4eab8b78558b6cb7 d88cf31055f8f2f9 d7383729fe99b54f ff14cbd8d906719a a1ce355c874ba851 2021792912211cc8 48fb9b26f3ab9085 cd8a55e63e6ab416 c367d367efd7e4bf 0749b0eac68ddfa2 4e2cb3c6fe0f1376 e27b8a70862f28a9 7cd161f77b76b004 866937840b197999 9b746cef1e3ebe28 fa0facc1035123dc 831141431ca6022b d39a335d58289043 2ec74c681dda0a47 ba854086d29b49b8 d1254ee38f8a30e6 d765d8511e57bd2d 9e6898aa5a012ad4 c57e284d60a66f9b 27514aceb5aeb5b4 e3f2e9efeb9d1b5a d6161215ffaba51b f4bc1d7e5f5c5d38 4ab5d95e3dbd0660 af875b8598f2f28f 1d3eb18e863c9dbf c33361da32aa551f 75720223ea9155af 17e2f34cbfa91878 8d851f33231a1d3c 3926c43cd7703559 e557c73ce714b5ac 0f22c9c4901d844b d806103a9dc8a3cb 66d2f6f3fb967645 1d0112e0a749a7fd bd6682a406529ea8 898e5f2786a05274 3a152139cefe415b c4b44fa04e075c00 b6e8b06a0ae4b60f 9e0a872acc07d91a 900d5c304be8d54d
C87NmbDEECz55BdJ,639d85039afd302d 772bdac5eb711ff6 985dc437fea08791 d93f9fd25c34020e d53ed1b5ee04124b 1210ead0ad9cacdf 503fa42b3135b07a 47d69ab911f7e876 a2fe5220900a341a 94c4ccd762aae19f 17d852af377fc179 a317a15b20ded8b5 102b9907088f7929 3482673a7d6aceca 86de71c66dd2773e 325cb0e9cc186e77 9f69c8903ff81799 7c1fd27bf3023a09 60da3b17af6c67c6 58c8bb4cda560a90 8e27e0145ab2d9ee 0489ab346368fb43 8d368cec78617ab7 272fb9d939705fa2 03d74f1e16c5cb36 e0f567b0b56f901d 42b32e2a4f2e1a0a c110cd29cc7b359f 104da90f582eb10b 7d3079ea89ea3327 c91e07de79c2df3a deb926c50529931b d5481806b6e8dfde 24f65a1ed155d3f6 ae71662e1cd76c33 4f5b402688684e75 5bee8aed3480d143 129061ce491b9036 bb793f8bb34cb7a4 010db753a547e8e0 6faa3a8aa70de72f 41206f1973ec29eb 933c563c0b97b294 5afbf6db81762374 82f29a8a92af3990 ee2f146957fc71da 872ba982e10b0ed4 d1cf724317693f3b 657d50165b7f7e8d e10ac87f506d128c
bTF8nFanljgh7MYg,ffb293d728ad43a6 12f8eb8fc5bcf830 3b1daa74cc3b525b bc6fe8709b827527 a2e5965b7fb44ba0 1ef0d3d4bf13d4e5 e1a509061db4365e 45751ba9f5ef2a7b f1a94922489fe1ae 33de3813f4dac961 7e9b30ad1ca77ac7 a7805f280da53d7e 54a253cf01bdf010 40db738f6e3d8f79 5fe9106b02d139f8 de800bef25ee3993 1138896920d3015b affbf2edd14e7e00 99474be1eba3643c c5afdb1996990796 ae1be196b1609f1a cd7cfcb0053b9d73 6f9ecabf50905914 b925fbd0b3ffb66a 57b445392b127bda 35fcfc80a444a1f2 7262cdb1bf3308d5 34cf511efbd1f6e5 7e956132fdb6055d c1cc10231d622ff6 90b5c89f9ab685b7 bbb9f3c0b0c4c51e 495994dc327cbdd5 4d7b0cb1624f6e67 b27dee159dbdd602 8a454087c2377b1f 3851485adc7d53b7 87c862e5fc5c2bd8 f2fa22ba6c8c5b71 8d6f5f96583ec26e 6840e8fe2c24dfe8 b92bb5f2e54134c0 955eeedc2a1fed81 aad2a42642e265ab aaabbc48dca4b8c7 0b630d40f8a864fb d8c5823d7834383e f612dd14b7739e74 c083e6e572a73a63 d7417a1af0d46e1a
