query_id,answer
70DfDUpwjxB4lzFd,b92ee8f432cec2d1 d722bcda1a555091 255fbeaf526a1cc1 deb58d7ad8c27d06 603623b4bd9e8f6c 355392014208b7bf fa01652ca5f57d0f 6042fecdd7753112 d7ad9f91504e4d02 4494aa11cbdc2d65 bbfd9a8c71d3bd2b e5a240b2eaca4e11 94c5ec723ea5418f a1df0525799ab4b5 14d535285758af89 fa4ba2c2cf71b0b1 6fc4db453f873556 9515d1e1ecdac72c d01e14d2ffd4ddba f4e8903d7689e222 6047e1566a959d3a bee602308dd4d4b3 4332513c8fe7e1c9 73ba3172bc67d2dd d4ebb123b83921c3 3b5ada3ffcacbbf3 82ddaf2c54ef884a 6dfa83ed47d5bd10 33f8d361a92bdcde c04be97528001251 95571e85156ba0fe cf0b70d14b674f8b 347f89be8087d8c7 acc6e16fea8628b0 fe18d6ee0f9c019c 616137eeb40fbedc 99a2e8409516b616 1308d41ffd1cc3a6 4f96718256e225e4 56157887d3ddab2a 198c47117b3869da 19eb2b277468f2a9 638349a35daca252 af211a0cee266bb0 e5653b4ed4cd969a d15745c74b29ff6a 585d85c2bbec8c0a f65ac8db3e481766 500f27848ff77d33 3253f338b45470e5
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 367af128a9ea2a48 cbeccbecb1fb8d86 1c6d2079e07f4497 1344796085e92421 dfa239d031b11832 47b2ed1012de011a 01fbbfc288257fca 431efbc80d59155f 35a0a88ef8547de9 9227619964c97cd4 396da9dc8f95a5b4 73ab3b0d708ea15e 14fbc6d1a2f9f588 f46f68aaa4d7de38 1a1f3efb845a2473 427a0a8bda5b9679 c5110c8ce7bc03db 75be1179c1cf9418 cacca72b31f50e71 bfe712cb2e8abded d73d2694b62a903f 56415c6efe9263d3 5cc5ebbee2455db0 efde386fb8c4f385 19165fefac3dce47 7e18adf210484046 e7a1a49f5d6590f2 664665688c35c1d0 bafe6304f743b5fb 16ea26ff0aa0450a 0529307cdfbe4a15 8703b2a0442c5d25 e9cebe597677e8c6 57e4e6a29340c866 88931c4cd463d124 e08d374366a8ebfb 4a435cc0a254c1fd 413f6384e3c07b64 f50963ef7dda3d19 523030d8a853e7c4 aba630c0ae03bc91 22fcfaa386f58ecc 0f7b573ac008ea9f a799e455c749d7b6 1440ffbe4863b68d 3a5fcb870e078d7e 5fb8205a8c106545 cf7cf3f80dbeeb5a 9a9aabc6565220f6
LZCZNoVG4AFUkVRJ,3f89b8062dc85f1c dab52187b4500d9b d8fce513e4f000a7 d62074dd39caefee 168a9207e80b0be4 3b370cc603f67947 edecb3695ab88901 10eb6d6da3230bbb 5c3ee000a94c97a4 c5d21c0e8c1cdb2d c1abf382ab9a79dd d8b9d06b50158c04 005a523a0efbc62b 0b1c884e6c242ea7 53fc0e81b65d6289 a9840be7d8930cd1 35a357d7a0777087 597e24ccf265b201 6c311e61cde9bac2 d69aa82a671914c3 e14f5fb01fd62b4b bcb840f5c56fa5bf 65f998d38467560a d8e11672a3a3b1db e59f50c4c70d9a74 ab1a2e6b18e6d75a 0c82dcb07c43fbc5 4d4d23ab3070858e 3f155e092f6b52f3 da766eaa5b580693 70c217c03761b975 18e40dcee35f8a19 0916d1858b6583d5 9d1e1a1bdbc80dc2 449711e696e8856b bc5cfc9ad5b36256 ace36e5c61a9aa3b 198982512599435c 56977227891850da 747adf1ec178da7a 5ffe557615057a8c a461751752fcbf14 8085d59d5c4c4838 2dc90fded6249aa8 c4485c8d09abc014 6fce025768d766a2 690ee542d3e84376 7a731640393c1945 c51784a57473b4e8 417e993558c76023
660ac9QVtXkRxZC3,af91ec4a29b66636 bd2cb4500fad728e 4c15e7abba063ac5 a846a2a5241e1180 e42795fcb72962a5 3cce43c811459438 67b2cd847669eb36 1e5924dc546b82c1 62be8c7f2a81aa9b d8f21e0f7becfcd5 5b8181f009aea80e 4816fc8b40866f56 0ccc2d9667763ea3 7d77c8f23d4954f8 3258e0cf775323d9 da18e5119a944f0b 2babc4b2f86c9376 3e76e71f9e7867a5 db04fd609245f490 3b781361d56cf997 f9028eecc17d9dd0 134c28fb359a5712 08e8c89906568c95 47e796789fa62aea 5c9d84e749c82719 18c4c99fffbf23ff 94677309cbe99d60 14eee0fbc506b525 57f0c8833f98c86b 52bb41bec8c09542 8a95ee1ec69302f4 8f13aa53489bdd4b 976b75fa962b2756 f3dbed2c47abb854 387a6fed86e2eec2 e027f513f65536de efd1cc78ffcb3b79 3e36cf9b2cb9e64b fde6e017db60d8cd 7f0e79d19cfd6afe 74ad7db7032ecbea faea54b4ef8920ae 411aff1d13b08f7c ebf755524175eac5 08223c553a39282b cb79c218e9550c22 02fa5ae33b30cbde 38ecf5c0b8e5999b cd04c8934c09f1dd 88fbcdb287ccfe3f
YgHcM9MVbxKnxD1e,1a62634394544781 9c41fe789f98d702 615c73ea4c3bfd15 60e3b99111bd032b ba78ad593ec3412d 13f58fe9542bdb1a b8603925d28a8c99 4ef5ba70fa9baaef 53f9c8caeeb8111e 0da6f81229980968 5008e2463b0c0526 56e3295572157d74 fb0bf6077c59c5a2 9502b74b2d61c50e 94cce9ac398a8f4a 3bad0535f35b0096 0c8a36e283d43f46 33d983691b39da66 cba533b4d734504c 0f2830cc25924065 33539f478a2ca02a e4dc4fd74ce1c4c6 8138a7b391e29034 69313d4e1dce4f52 4ac1b5362445d885 90872ad5fea97a70 a413c0c31ebe5c3f 77a1a9d8e808d482 9c1a7044c25537f7 b429bb253a967e2e aee13260d864d401 03e08eb8f11a3a5d 4265411abbbf405a 2c6da0b6c9272fe3 5302ea5fd1d36ebe 9dfc2ead6929b559 e09647d3c173314b ab1375ac6cf06b05 c29ab1c26477ab91 00e247b927321fd3 cde988cf3b7f41b0 f23e3caec0202f5f 1bb699002a717294 edd7d381cffa4015 94212c703afff6fe 9e5b312ae03dfa79 5d754b323095ba53 38f7cea86e2064f1 0a6582395c74f5b3 32c9ed4f2cdc58fb
Fn8uGfYsaUS86ak6,c6ddc1fc25886253 e3f278c4400772bd efd1cbb4bff99da8 1ebd6968953200ee b9982354b0f9b488 275d3c1139d393cf 44853116720cebf8 9b98201161efb75f 5d6fc47a7f0e1abe 6a254eaa5e3cbcaf 772688bdf88be444 98d326ba81fe3f24 138ebf716562699c 6f62d35257e7a261 8ed055fba8c69bea 9328083d57dc2ecb 9d80c5569bb55f4d 1ddbc4e38fa8e39e a3f003d075e3dd83 282c376762a9bce8 04b3c9d52d80b499 470c9b814c5f01db 1b57e78ed4d89c93 f561c13076e6bf30 a5b439f86471cead f3772bb5b115fd55 4030be553978c72e 017bb20f4533c6f4 77591840de7e9360 31ff8ec483e880b6 5a3a241e8b4685ea f9a1d76720a2fd92 8e89c37ccf03e9ad 1fbe566c17c1c988 503d2bf7607b0168 e4f46fcd4a67837f 6b860f38b8980d2d df63f15b03fa2b62 8a017a8dfb66f997 340213a619c45f65 f52a1a8c5fa23746 c1fef52077704ca1 cec2129b96de2003 29ce1d78b42644f2 1e6c849543277e26 dc1c87130fd0744c 7d10a60250c95c11 ea72d9308f78f43e ff217974c8cb6ed7 a19f89e720c8750e
u4hftjenWqHZoMep,bfc4346cd7fe091f 6159d0a9012f6b13 57dc728ccb851c30 b0896578a785ce44 144d5e7f963f9a97 c9021873c1f2511b 0cfabc56b1cd4816 24370b8d2003ebfc f7ed83d74c968bd4 1a3daa8815cbd80e d0a1eeeb46bda2ef 4ecfd12428c444fa 7ab3158075b21fb5 83b88c758270dcfe 7ad464454b711615 4ed8df21d84d4a06 52b552798a34129b 7a60e1d73f70774c e45c6c6c7afe87d6 f2d7a21bead9c336 f872d6a8126cd626 5dd3a74fe5d4e813 0cc13c74b16c94e8 29a59ffd53a4c337 eecc194627e2aca1 69d8eb81dfbd696b 3fe3cfbf10720ad6 4638da6d64063c3a 118e63c31106f1bf d255326a3ea3e369 558579a8d2f47c9b 5dacf594473fe363 b729425605d7db14 aedfffed94c3a134 cd3b021cdaa6c4c3 427adddd43d80def 7836160c3dbe9515 7d8e608edc06dced 93095d3a5b2aff5f bd66d2fbc4a94e48 52711f519e4ac28b f8b023e74e665a78 5ab1cbf297600701 df153908bdb70488 87166243a4d47bd3 b8682c938874a5f6 e9bee5927a86f454 7950bc85541eb87a dd447becbbdf18f6 1c90b2e7c7e35d94
2Ysms04CH0JxFR7M,376b59a44a9b7fde d7383729fe99b54f 1a4ad9abea6976bf 4eab8b78558b6cb7 d88cf31055f8f2f9 ff14cbd8d906719a 48fb9b26f3ab9085 a1ce355c874ba851 2021792912211cc8 cd8a55e63e6ab416 866937840b197999 7cd161f77b76b004 c367d367efd7e4bf 0749b0eac68ddfa2 4e2cb3c6fe0f1376 e27b8a70862f28a9 2ec74c681dda0a47 831141431ca6022b 9b746cef1e3ebe28 ba854086d29b49b8 fa0facc1035123dc d39a335d58289043 9e6898aa5a012ad4 d6161215ffaba51b d1254ee38f8a30e6 f4bc1d7e5f5c5d38 d765d8511e57bd2d 27514aceb5aeb5b4 1d3eb18e863c9dbf c57e284d60a66f9b 4ab5d95e3dbd0660 e3f2e9efeb9d1b5a af875b8598f2f28f 9972a497c9dcd441 302ffab4d78f8d66 17e2f34cbfa91878 e3598048a2754fcd 20024855626d6029 1352e23d2c8a7e7a 70d2b0a55385d928 040803c0b7f5d0de 36df86096b039d71 0d33c6446491811b 5c1543f4426a6c5a ff570e783453efcf fa7746ff31257532 dbbe83c22fbe9d6e b595570431db03be f7fcf460979c1ec5 bfd2fa35e7a1660f
C87NmbDEECz55BdJ,772bdac5eb711ff6 639d85039afd302d 985dc437fea08791 d93f9fd25c34020e d53ed1b5ee04124b 47d69ab911f7e876 1210ead0ad9cacdf 503fa42b3135b07a 94c4ccd762aae19f a2fe5220900a341a 17d852af377fc179 86de71c66dd2773e 102b9907088f7929 c110cd29cc7b359f 7c1fd27bf3023a09 a317a15b20ded8b5 8d368cec78617ab7 24f65a1ed155d3f6 9f69c8903ff81799 272fb9d939705fa2 104da90f582eb10b 58c8bb4cda560a90 0489ab346368fb43 3482673a7d6aceca 8e27e0145ab2d9ee d5481806b6e8dfde 933c563c0b97b294 42b32e2a4f2e1a0a 60da3b17af6c67c6 325cb0e9cc186e77 312eb6d5e3c97fe5 7d3079ea89ea3327 ae71662e1cd76c33 c91e07de79c2df3a 03d74f1e16c5cb36 deb926c50529931b e0f567b0b56f901d 5bee8aed3480d143 41206f1973ec29eb cf530c4401ebca17 77b7b1e4713c0a38 4f5b402688684e75 2fda907fd6c2e822 d05475ef80a2f145 3788aabef309f32c 129061ce491b9036 67cef9ea8ab87aae 8c017d755903c798 90441552f4476898 920a9982f5401e63
bTF8nFanljgh7MYg,bc6fe8709b827527 ffb293d728ad43a6 3b1daa74cc3b525b 12f8eb8fc5bcf830 a2e5965b7fb44ba0 5fe9106b02d139f8 1ef0d3d4bf13d4e5 e1a509061db4365e 6f9ecabf50905914 495994dc327cbdd5 adb24f7adbef70ff 070b67d8d87a7d16 627ca4f7dc9fe638 33de3813f4dac961 45751ba9f5ef2a7b 1555a20631f724fe 09e9fea66d9b18ed ff0fa20dc2ab50f5 88c1ca26292dbdff a37577e9aafbd972 5e93a81c94d07a33 7d83d2d84dca235f a7805f280da53d7e a524014ec1f47554 2408993e3627c6da 87b31d1f653afc3e 1f9673dcc275ea7d ad6c26efefd1e6d1 d47af97933f9c82b d6d1605f7dd4c950 c679539ea64e524f 95d6e5ef0d0d0024 f1a94922489fe1ae 5bf42c78803ca2d6 e66560f5571eb916 08593e6cbaacbef1 3388a13dfa0f1c48 8f913e791f9bc857 f0163dabccdb33e8 819fe7647608dfd8 3d26d2c0b408743c 49d3b90b4699c983 4d11c23bd09c33aa 8fccb5f577dc8cc3 ab7e197209e40355 d49b0855508c7a45 46c6e475960d796e 9edac9c89f206e81 375fb68073264a28 dd0cce72b634d4b1
